Serial No,Name,Description,Stars,Forks,Last Commit,Repository URL
1,instant-ngp,Instant neural graphics primitives: lightning fast NeRF and more,14320,1785,2023-10-06T12:24:57Z,https://github.com/NVlabs/instant-ngp
2,deep-painterly-harmonization,"Code and data for paper ""Deep Painterly Harmonization"": https://arxiv.org/abs/1804.03189",6103,638,2021-08-02T02:46:03Z,https://github.com/luanfujun/deep-painterly-harmonization
3,deep-high-resolution-net.pytorch,"The project is an official implementation of our CVPR2019 paper ""Deep High-Resolution Representation Learning for Human Pose Estimation""",4133,906,2022-12-14T04:14:56Z,https://github.com/leoxiaobin/deep-high-resolution-net.pytorch
4,warp-ctc,Fast parallel CTC.,4052,1052,2023-01-05T14:28:28Z,https://github.com/baidu-research/warp-ctc
5,SENet,Squeeze-and-Excitation Networks,3220,830,2019-02-25T08:41:20Z,https://github.com/hujie-frank/SENet
6,tsne-cuda,GPU Accelerated t-SNE for CUDA with Python bindings,1630,120,2023-09-13T20:22:05Z,https://github.com/CannyLab/tsne-cuda
7,cub,[ARCHIVED] Cooperative primitives for CUDA C++. See https://github.com/NVIDIA/cccl ,1597,487,2023-10-09T17:44:21Z,https://github.com/NVIDIA/cub
8,FCIS,Fully Convolutional Instance-aware Semantic Segmentation,1567,421,2021-09-27T02:16:42Z,https://github.com/msracver/FCIS
9,CUDA_Freshman,,1441,340,2023-10-28T04:22:31Z,https://github.com/Tony-Tan/CUDA_Freshman
10,cugraph,cuGraph - RAPIDS Graph Analytics Library,1420,258,2023-11-09T17:23:10Z,https://github.com/rapidsai/cugraph
11,matconvnet,MatConvNet: CNNs for MATLAB,1376,761,2021-12-21T11:28:11Z,https://github.com/vlfeat/matconvnet
12,Deformable-Convolution-V2-PyTorch,Deformable ConvNets V2 (DCNv2) in PyTorch,1349,225,2022-11-18T21:39:26Z,https://github.com/chengdazhi/Deformable-Convolution-V2-PyTorch
13,cs344,Introduction to Parallel Programming class code,1227,1124,2022-06-27T11:56:37Z,https://github.com/udacity/cs344
14,Alenka,GPU database engine,1165,126,2017-01-30T18:30:28Z,https://github.com/antonmks/Alenka
15,CUDA-Programming,Sample codes for my CUDA programming book,1121,267,2023-07-27T12:20:22Z,https://github.com/brucefan1983/CUDA-Programming
16,k2,"FSA/FST algorithms, differentiable, with PyTorch compatibility.",970,242,2023-11-01T08:30:54Z,https://github.com/k2-fsa/k2
17,blocksparse,Efficient GPU kernels for block-sparse matrix multiplication and convolution,967,196,2023-06-08T11:01:25Z,https://github.com/openai/blocksparse
18,CUDALibrarySamples,CUDA Library Samples,947,249,2023-11-07T20:41:42Z,https://github.com/NVIDIA/CUDALibrarySamples
19,torchsparse,TorchSparse: Efficient Training and Inference Framework for Sparse Convolution on GPUs.,922,111,2023-11-07T15:06:41Z,https://github.com/mit-han-lab/torchsparse
20,CudaSift,A CUDA implementation of SIFT for NVidia GPUs (1.2 ms on a GTX 1060),782,275,2023-09-12T18:52:16Z,https://github.com/Celebrandil/CudaSift
21,Learn-CUDA-Programming,"Learn CUDA Programming, published by Packt",774,201,2023-04-04T18:49:15Z,https://github.com/PacktPublishing/Learn-CUDA-Programming
22,warp-ctc,Pytorch Bindings for warp-ctc,749,274,2023-07-02T07:31:58Z,https://github.com/SeanNaren/warp-ctc
23,cuda-convnet2,Automatically exported from code.google.com/p/cuda-convnet2,738,287,2015-12-03T03:46:14Z,https://github.com/akrizhevsky/cuda-convnet2
24,nv-wavenet,Reference implementation of real-time autoregressive wavenet inference,727,126,2021-01-19T15:09:25Z,https://github.com/NVIDIA/nv-wavenet
25,twostreamfusion,"Code release for ""Convolutional Two-Stream Network Fusion for Video Action Recognition"", CVPR 2016.",697,192,2016-09-27T08:45:53Z,https://github.com/feichtenhofer/twostreamfusion
26,mc-cnn,Stereo Matching by Training a Convolutional Neural Network to Compare Image Patches,685,236,2018-01-25T21:47:39Z,https://github.com/jzbontar/mc-cnn
27,tsdf-fusion,Fuse multiple depth frames into a TSDF voxel volume.,656,131,2019-05-07T17:43:55Z,https://github.com/andyzeng/tsdf-fusion
28,how-to-optim-algorithm-in-cuda,how to optimize some algorithm in cuda.,602,56,2023-10-16T10:42:13Z,https://github.com/BBuf/how-to-optim-algorithm-in-cuda
29,lietorch,,590,39,2023-10-20T07:39:01Z,https://github.com/princeton-vl/lietorch
30,nvParse,"Fast, gpu-based CSV parser",552,29,2017-01-23T06:22:10Z,https://github.com/antonmks/nvParse
31,baidu-allreduce,,537,114,2018-04-06T05:29:59Z,https://github.com/baidu-research/baidu-allreduce
32,GANet,GA-Net: Guided Aggregation Net for End-to-end Stereo Matching,532,135,2020-04-15T11:23:47Z,https://github.com/feihuzhang/GANet
33,nccl-tests,NCCL Tests,531,176,2023-10-25T04:12:38Z,https://github.com/NVIDIA/nccl-tests
34,DarkPose,Distribution-Aware Coordinate Representation for Human Pose Estimation,530,79,2021-10-12T23:06:02Z,https://github.com/ilovepose/DarkPose
35,cuda_programming,"Code from the ""CUDA Crash Course"" YouTube series by CoffeeBeforeArch",525,132,2023-07-19T14:39:54Z,https://github.com/CoffeeBeforeArch/cuda_programming
36,DepthwiseConvolution,A personal depthwise convolution layer implementation on caffe by liuhao.(only GPU),524,185,2021-05-21T06:54:58Z,https://github.com/yonghenglh6/DepthwiseConvolution
37,recommenders-addons,"Additional utils and helpers to extend TensorFlow when build recommendation systems, contributed and maintained by SIG Recommenders.",517,123,2023-11-09T18:29:43Z,https://github.com/tensorflow/recommenders-addons
38,convnet,A GPU implementation of Convolutional Neural Nets in C++,504,236,2020-10-01T21:15:35Z,https://github.com/TorontoDeepLearning/convnet
39,kNN-CUDA,Fast k nearest neighbor search using GPU,462,104,2018-08-06T08:52:37Z,https://github.com/vincentfpgarcia/kNN-CUDA
40,integral-human-pose,Integral Human Pose Regression,459,76,2019-04-04T02:58:37Z,https://github.com/JimmySuen/integral-human-pose
41,cudahandbook,Source code that accompanies The CUDA Handbook.,458,183,2022-04-27T23:49:27Z,https://github.com/ArchaeaSoftware/cudahandbook
42,music-translation,A UNIVERSAL MUSIC TRANSLATION NETWORK - a method for translating music across musical instruments and styles.,453,74,2021-08-15T15:03:37Z,https://github.com/facebookresearch/music-translation
43,How_to_optimize_in_GPU,"This is a series of GPU optimization topics. Here we will introduce  how to optimize the CUDA kernel in detail.  I will introduce several basic kernel optimizations, including: elementwise, reduce, sgemv, sgemm, etc. The performance of these kernels is basically at or near the theoretical limit.",452,83,2023-07-29T05:52:37Z,https://github.com/Liu-xiandong/How_to_optimize_in_GPU
44,kilonerf,Code for KiloNeRF: Speeding up Neural Radiance Fields with Thousands of Tiny MLPs,449,51,2021-06-16T14:27:56Z,https://github.com/creiser/kilonerf
45,NeuS2,Official code for NeuS2,437,27,2023-09-30T17:34:12Z,https://github.com/19reborn/NeuS2
46,raft,RAFT contains fundamental widely-used algorithms and primitives for machine learning and information retrieval. The algorithms are CUDA-accelerated and form building blocks for more easily writing high performance applications.,423,130,2023-11-09T17:31:26Z,https://github.com/rapidsai/raft
47,KinectFusionLib, Implementation of the KinectFusion approach in modern C++14 and CUDA ,422,78,2021-05-05T20:55:56Z,https://github.com/chrdiller/KinectFusionLib
48,nerfshop,NeRFshop: Interactive Editing of Neural Radiance Fields,413,20,2023-03-27T10:06:52Z,https://github.com/graphdeco-inria/nerfshop
49,deformable-convolution-pytorch,PyTorch implementation of Deformable Convolution,408,54,2019-02-17T06:07:11Z,https://github.com/1zb/deformable-convolution-pytorch
50,AMGX,Distributed multigrid linear solver library on GPU,407,130,2023-10-31T14:24:25Z,https://github.com/NVIDIA/AMGX
51,multi-gpu-programming-models,Examples demonstrating available options to program multiple GPUs in a single node or a cluster,405,94,2022-10-17T12:24:24Z,https://github.com/NVIDIA/multi-gpu-programming-models
52,cudpp,CUDA Data Parallel Primitives Library,402,96,2018-11-09T00:21:23Z,https://github.com/cudpp/cudpp
53,gpuRIR,Python library for Room Impulse Response (RIR) simulation with GPU acceleration,395,83,2023-11-03T13:03:22Z,https://github.com/DavidDiazGuerra/gpuRIR
54,MegBA,MegBA: A GPU-Based Distributed Library for Large-Scale Bundle Adjustment,392,52,2022-10-16T11:19:05Z,https://github.com/MegviiRobot/MegBA
55,fast-human-pose-estimation.pytorch,"Official pytorch Code for CVPR2019 paper ""Fast Human Pose Estimation"" https://arxiv.org/abs/1811.05419",388,68,2022-09-16T07:27:38Z,https://github.com/ilovepose/fast-human-pose-estimation.pytorch
56,popsift,PopSift is an implementation of the SIFT algorithm in CUDA.,387,107,2023-07-05T10:11:11Z,https://github.com/alicevision/popsift
57,NvPipe,NVIDIA-accelerated zero latency video compression library for interactive remoting applications,383,99,2020-06-03T11:07:01Z,https://github.com/NVIDIA/NvPipe
58,unsupervised-videos,Unsupervised Learning of Video Representations using LSTMs,349,114,2018-03-06T02:55:46Z,https://github.com/mansimov/unsupervised-videos
59,open_quadtree_mapping,"This is a monocular dense mapping system corresponding to IROS 2018 ""Quadtree-accelerated Real-time Monocular Dense Mapping""",342,87,2018-10-16T03:52:29Z,https://github.com/HKUST-Aerial-Robotics/open_quadtree_mapping
60,cutorch,A CUDA backend for Torch7,336,210,2017-09-11T21:54:52Z,https://github.com/torch/cutorch
61,DABA,"Official implementation of ""Decentralization and Acceleration Enables Large-Scale Bundle Adjustment""",332,27,2023-07-28T17:28:38Z,https://github.com/facebookresearch/DABA
62,SimpleGPUHashTable,A simple GPU hash table implemented in CUDA using lock free techniques,332,35,2023-09-12T16:31:14Z,https://github.com/nosferalatu/SimpleGPUHashTable
63,Person-reID_GAN,ICCV2017 Unlabeled Samples Generated by GAN Improve the Person Re-identification Baseline in vitro,318,93,2021-06-29T10:21:55Z,https://github.com/layumi/Person-reID_GAN
64,professional-cuda-c-programming,,307,132,2015-07-05T19:20:49Z,https://github.com/deeperlearning/professional-cuda-c-programming
65,nvbench,CUDA Kernel Benchmarking Library,302,49,2023-11-02T18:11:37Z,https://github.com/NVIDIA/nvbench
66,fbcuda,Facebook's CUDA extensions.,282,64,2019-03-27T22:14:19Z,https://github.com/facebookarchive/fbcuda
67,ChamferDistancePytorch,Chamfer Distance in Pytorch with f-score,279,42,2021-01-08T14:58:41Z,https://github.com/ThibaultGROUEIX/ChamferDistancePytorch
68,cuda-training-series,Training materials associated with NVIDIA's CUDA Training Series (www.olcf.ornl.gov/cuda-training-series/),279,124,2022-04-04T23:46:10Z,https://github.com/olcf/cuda-training-series
69,gsplat,,276,12,2023-11-08T02:07:45Z,https://github.com/nerfstudio-project/gsplat
70,SimCC,[ECCV'2022 Oral] PyTorch implementation for: SimCC: a Simple Coordinate Classification Perspective for Human Pose Estimation (http://arxiv.org/abs/2107.03332). Old name: SimDR,274,28,2022-07-17T08:00:20Z,https://github.com/leeyegy/SimCC
71,dietgpu,"GPU implementation of a fast generalized ANS (asymmetric numeral system) entropy encoder and decoder, with extensions for lossless compression of numerical and other data types in HPC/ML applications.",270,22,2023-10-04T01:13:48Z,https://github.com/facebookresearch/dietgpu
72,ROSEFusion,[SIGGRAPH 2021] ROSEFusion is proposed to tackle the difficulties in fast-motion camera tracking using random optimization with depth information only. ,268,40,2022-11-02T13:50:09Z,https://github.com/jzhzhang/ROSEFusion
73,GenomeWorks,SDK for GPU accelerated genome assembly and analysis,267,76,2022-06-22T02:24:48Z,https://github.com/NVIDIA-Genomics-Research/GenomeWorks
74,torch-mesh-isect,,259,67,2022-10-05T09:11:04Z,https://github.com/vchoutas/torch-mesh-isect
75,diff-gaussian-rasterization,,256,56,2023-11-09T07:30:13Z,https://github.com/graphdeco-inria/diff-gaussian-rasterization
76,PyTorchEMD,PyTorch Wrapper for Earth-Mover-Distance (EMD) for 3D point cloud regression,254,51,2023-04-18T09:06:44Z,https://github.com/daerduoCarey/PyTorchEMD
77,cudnn-training,A CUDNN minimal deep learning training code sample using LeNet.,250,92,2023-07-30T01:48:16Z,https://github.com/tbennun/cudnn-training
78,cuda-convnet,"My fork of Alex Krizhevsky's cuda-convnet from 2013 where I added dropout, among other features.",246,147,2015-01-23T20:38:44Z,https://github.com/dnouri/cuda-convnet
79,GPUMD,Graphics Processing Units Molecular Dynamics,246,96,2023-11-09T15:49:16Z,https://github.com/brucefan1983/GPUMD
80,punica,Serving multiple LoRA finetuned LLM as one,245,8,2023-11-08T19:51:35Z,https://github.com/punica-ai/punica
81,EET,Easy and Efficient Transformer : Scalable Inference Solution For Large NLP model,241,44,2023-11-02T11:51:58Z,https://github.com/NetEase-FuXi/EET
82,chamferdist,Pytorch package to compute Chamfer distance between point sets (pointclouds).,240,44,2023-11-02T01:22:47Z,https://github.com/krrish94/chamferdist
83,infer,A new tensorrt integrate.,235,47,2023-04-02T07:15:15Z,https://github.com/shouxieai/infer
