Serial No,Name,Description,Stars,Forks,Last Commit,Repository URL
1,xGPU,A GPU based FX correlator for radio astronomy,31,25,2018-06-21T17:39:49Z,https://github.com/GPU-correlators/xGPU
2,HOTlab,Software package for holographic optical trapping (HOT) released under GPL and LGPL. Requires a CUDA compatible GPU and LabVIEW,11,7,2022-07-02T02:07:32Z,https://github.com/MartinPersson/HOTlab
3,CCL-GPU,GPU Implementation of some Connected Component Labeling Algorithms,19,4,2020-11-28T05:25:45Z,https://github.com/victoroliv2/CCL-GPU
4,cuda-PHDSLAM,PHD Filter SLAM with CUDA,22,10,2014-07-17T22:14:55Z,https://github.com/cheesinglee/cuda-PHDSLAM
5,cukd,WIP for a k-d-tree implementation in CUDA,35,4,2023-03-22T11:11:41Z,https://github.com/unvirtual/cukd
6,Alenka,GPU database engine,1164,126,2017-01-30T18:30:28Z,https://github.com/antonmks/Alenka
7,nmf-cuda,A CUDA implementation of non-negative matrix factorization for GPUs.,34,9,2018-02-27T23:49:03Z,https://github.com/ebattenberg/nmf-cuda
8,ccl,Connected Component Labeling.,43,17,2020-07-12T11:47:42Z,https://github.com/foota/ccl
9,ccogs,Cosmological Calculations on GPUS. A collection of code used to perform calculations use in Cosmology studies and written for GPUs. ,14,4,2015-07-10T04:35:30Z,https://github.com/djbard/ccogs
10,cudahandbook,Source code that accompanies The CUDA Handbook.,463,185,2022-04-27T23:49:27Z,https://github.com/ArchaeaSoftware/cudahandbook
11,gmatrix,R package for unleashing the power of NVIDIA GPU's,16,5,2016-06-04T21:07:49Z,https://github.com/njm18/gmatrix
12,cs344,Introduction to Parallel Programming class code,1234,1127,2022-06-27T11:56:37Z,https://github.com/udacity/cs344
13,cub,[ARCHIVED] Cooperative primitives for CUDA C++. See https://github.com/NVIDIA/cccl ,1613,491,2023-10-09T17:44:21Z,https://github.com/NVIDIA/cub
14,kNN-CUDA,Fast k nearest neighbor search using GPU,472,106,2018-08-06T08:52:37Z,https://github.com/vincentfpgarcia/kNN-CUDA
15,cudpp,CUDA Data Parallel Primitives Library,405,96,2018-11-09T00:21:23Z,https://github.com/cudpp/cudpp
16,gpufs,GPUfs - File system support for NVIDIA GPUs,82,36,2018-11-26T10:38:18Z,https://github.com/gpufs/gpufs
17,CUDA_Floyd_Warshall_,CUDA implementation of the Floyd-Warshall All pairs shortest path graph algorithm(with path reconstruction),34,14,2014-09-18T02:20:22Z,https://github.com/OlegKonings/CUDA_Floyd_Warshall_
18,vpath,A Small Volumetric CUDA Path Tracer,15,2,2014-11-15T14:16:33Z,https://github.com/seifeddinedridi/vpath
19,GooFit,"Code repository for the massively-parallel framework for maximum-likelihood fits, implemented in CUDA/OpenMP",121,41,2023-12-18T21:33:27Z,https://github.com/GooFit/GooFit
20,cuda,Just some examples of using CUDA I have put together,35,20,2023-09-20T14:07:13Z,https://github.com/teknoman117/cuda
21,cuda-convnet,"My fork of Alex Krizhevsky's cuda-convnet from 2013 where I added dropout, among other features.",246,147,2015-01-23T20:38:44Z,https://github.com/dnouri/cuda-convnet
22,NonSeparableFilteringCUDA,"Code for non-separable filtering in 2, 3 and 4 dimensions with the CUDA programming language.",11,6,2017-02-15T15:43:03Z,https://github.com/wanderine/NonSeparableFilteringCUDA
23,qe-gpu-plugin,Plug-in to accelerate Quantum ESPRESSO v5 using NVIDIA GPU,30,14,2017-02-23T00:06:36Z,https://github.com/fspiga/qe-gpu-plugin
24,chrono-flex,A parallel (GPU) implementation of the gradient-deficient beam element using the Absolute Nodal Coordinate Formulation (ANCF).,16,9,2015-07-07T16:20:56Z,https://github.com/projectchrono/chrono-flex
25,cutorch,A CUDA backend for Torch7,337,211,2017-09-11T21:54:52Z,https://github.com/torch/cutorch
26,cunn,,214,176,2019-08-27T00:44:54Z,https://github.com/torch/cunn
27,nvbio-gpl,NVBIO is a library of reusable components designed to accelerate bioinformatics applications using CUDA.,58,11,2014-08-21T16:09:18Z,https://github.com/NVlabs/nvbio-gpl
28,Lyra,,46,18,2017-08-20T13:59:51Z,https://github.com/leocalm/Lyra
29,inplace,CUDA and OpenMP implementations of C2R/R2C inplace transposition,43,7,2015-02-10T23:27:14Z,https://github.com/bryancatanzaro/inplace
30,nbody,Portable auto-vectorizable n-body benchmark,15,1,2023-12-22T10:27:06Z,https://github.com/tycho/nbody
31,cudadtw,GPU-Suite,80,13,2016-08-25T12:34:42Z,https://github.com/gravitino/cudadtw
32,clusterNet,Deep neural network framework for multiple GPUs,29,15,2015-06-20T09:47:19Z,https://github.com/TimDettmers/clusterNet
33,YacuDecu,GPU Deconvolution Library with C and Matlab API for nVidia GPUs,21,2,2019-03-02T20:53:29Z,https://github.com/bobpepin/YacuDecu
34,convnet-noisy,convolutional code for feed-forward noise model,14,7,2014-11-26T18:48:47Z,https://github.com/tesatory/convnet-noisy
35,CudaJacobi,CUDA implementation of the Jacobi method,24,13,2015-03-03T12:23:29Z,https://github.com/MMichel/CudaJacobi
36,halloc,A fast and highly scalable GPU dynamic memory allocator,102,8,2015-03-11T19:37:52Z,https://github.com/canonizer/halloc
37,gpu-edu-workshops,Code examples for CUDA and OpenACC,35,18,2017-03-01T22:14:51Z,https://github.com/jnbntz/gpu-edu-workshops
38,presentations,Slides and demo code for past presentations,11,2,2022-02-17T00:33:35Z,https://github.com/wireghoul/presentations
39,CuSha,CuSha is a CUDA-based vertex-centric graph processing framework that uses G-Shards and CW representations. ,49,19,2015-11-17T23:27:43Z,https://github.com/farkhor/CuSha
40,jetsonSIFT,A CUDA-accelerated SIFT implementation.,11,6,2015-02-01T23:18:17Z,https://github.com/alexanderkoumis/jetsonSIFT
41,convnet,A GPU implementation of Convolutional Neural Nets in C++,504,236,2020-10-01T21:15:35Z,https://github.com/TorontoDeepLearning/convnet
42,cuIBM,cuIBM: a GPU-based immersed boundary method code.,83,48,2023-03-26T04:54:43Z,https://github.com/barbagroup/cuIBM
43,cuda-floyd_warshall,CUDA implementation of the Blocked Floyd Warshall All pairs shortest path graph algorithm,34,14,2018-03-31T17:32:56Z,https://github.com/MTB90/cuda-floyd_warshall
44,adcensus,,31,18,2014-06-09T16:13:36Z,https://github.com/jzbontar/adcensus
45,skiplist_cuda,A parallel (CUDA) implementation of skiplist,13,3,2019-01-24T18:30:45Z,https://github.com/hcho3/skiplist_cuda
46,cuda-convnet2.torch,Torch7 bindings for cuda-convnet2 kernels!,40,16,2016-08-26T14:53:05Z,https://github.com/soumith/cuda-convnet2.torch
47,im2col,image to column,31,16,2014-07-15T02:31:04Z,https://github.com/OpenHero/im2col
48,hybrid_BC,Hybrid methods for Parallel Betweenness Centrality on the GPU,23,10,2018-12-20T18:31:34Z,https://github.com/Adam27X/hybrid_BC
49,cuda-mergesort,,18,8,2014-08-29T21:28:56Z,https://github.com/kevin-albert/cuda-mergesort
50,matconvnet,MatConvNet: CNNs for MATLAB,1379,758,2021-12-21T11:28:11Z,https://github.com/vlfeat/matconvnet
51,cgls_cuda,Conjugate Gradient for Least Squares in CUDA,48,14,2015-08-31T09:14:52Z,https://github.com/foges/cgls_cuda
52,Totem,A graph processing engine for hybrid CPU and GPU platforms,37,15,2019-02-07T16:38:37Z,https://github.com/netsyslab/Totem
53,Doubly_Stochastic_Gradients,Code for doubly stochastic gradients,24,12,2014-10-21T14:30:24Z,https://github.com/zixu1986/Doubly_Stochastic_Gradients
54,gpu_dfcc,GPU-accelerated coupled cluster with density fitting,17,4,2018-06-26T23:22:22Z,https://github.com/edeprince3/gpu_dfcc
55,GPU_BADMM_MT,Bregman ADMM for mass transportation on GPU,13,6,2014-12-04T19:32:26Z,https://github.com/anteagle/GPU_BADMM_MT
56,int_fastdiv,Fast integer division with divisor not known at compile time. To be used primarily in CUDA kernels.,65,9,2015-11-04T11:53:56Z,https://github.com/milakov/int_fastdiv
57,word2vec_cbow,this is a high performance cuda porting of cbow model of word2vec,43,41,2014-09-14T02:45:26Z,https://github.com/ChenglongChen/word2vec_cbow
58,Frog,Frog is Asynchronous Graph Processing on GPU with Hybrid Coloring Model. The fundamental idea is based on Pareto principle (or 80-20 rule) about coloring algorithms as we observed through masses of real graph coloring cases.,37,23,2021-05-29T02:37:24Z,https://github.com/CGCL-codes/Frog
59,firepony,Efficient base quality score recalibrator for NGS data,24,5,2015-11-28T04:03:01Z,https://github.com/broadinstitute/firepony
60,kmeans_cuda,A high performance implementation of kmeans algorithm with cuda ,19,12,2014-09-07T13:01:34Z,https://github.com/fengChenHPC/kmeans_cuda
61,variational-depth-from-focus,"Implementation of ""Variational Depth from Focus Reconstruction"" [Moeller 2015]",55,22,2020-02-02T19:11:47Z,https://github.com/adrelino/variational-depth-from-focus
62,Voxel-based-Rendering-,CIS565 Final Project,14,4,2014-12-08T02:09:42Z,https://github.com/wang1262/Voxel-based-Rendering-
63,CUDA-CNN,CNN accelerated by cuda. Test on mnist and finilly get 99.76%,180,88,2017-10-15T12:56:13Z,https://github.com/zhxfl/CUDA-CNN
64,convnet,,14,13,2014-09-23T18:35:55Z,https://github.com/stephenbalaban/convnet
65,fbcuda,Facebook's CUDA extensions.,282,64,2019-03-27T22:14:19Z,https://github.com/facebookarchive/fbcuda
66,SCI-Solver_FEM,SCI-Solver_FEM is a C++/CUDA library written to solve an FEM linear system. It is designed to solve the FEM system quickly by using GPU hardware.,79,27,2019-02-22T18:33:47Z,https://github.com/SCIInstitute/SCI-Solver_FEM
67,Octree-SLAM,Large octree map construction and rendering with CUDA and OpenGL,56,18,2015-06-13T16:59:27Z,https://github.com/dkotfis/Octree-SLAM
68,whippletree,"Whippletree, a novel approach to scheduling dynamic, irregular workloads on the GPU",19,8,2015-11-24T10:33:32Z,https://github.com/apc-llc/whippletree
69,SCI-Solver_Level-Set,SCI-Solver_Level-Set is a C++/CUDA library written to solve a system of level set equations on unstructured meshes. It is designed to solve the equations quickly by using GPU hardware.,18,12,2019-08-19T18:57:50Z,https://github.com/SCIInstitute/SCI-Solver_Level-Set
70,SCI-Solver_Eikonal,"SCI-Solver_Eikonal is a C++/CUDA library written to solve the Eikonal equation on triangular and tetrahedral meshes. It uses the fast iterative method (FIM) to solve efficiently, and uses GPU hardware.",17,12,2019-02-22T18:35:15Z,https://github.com/SCIInstitute/SCI-Solver_Eikonal
71,cuda-convnet2,Custom fork containing our own python backend for integration into neon,15,9,2023-01-03T22:54:02Z,https://github.com/NervanaSystems/cuda-convnet2
72,Weft,A Sound and Complete Verification Tool for Warp-Specialized GPU Kernels,13,3,2015-06-17T08:30:19Z,https://github.com/lightsighter/Weft
73,CUDA-Utilities,Utilities for CUDA programming,36,20,2019-05-17T11:58:40Z,https://github.com/OrangeOwlSolutions/CUDA-Utilities
74,THOR,Atmospheric fluid dynamics solver optimized for GPUs.,37,11,2022-02-25T14:58:54Z,https://github.com/exoclime/THOR
75,md5-cracker,Simple MD5 cracker (CUDA),24,10,2015-01-31T12:23:27Z,https://github.com/iryont/md5-cracker
76,libomptarget,,18,10,2015-10-15T14:04:25Z,https://github.com/clang-omp/libomptarget
77,cgx,"UltraFast GPU Grammar eXtractor for Machine Translation (He et al., TACL 2015 & NAACL 2013)",12,1,2015-06-19T00:21:11Z,https://github.com/hohoCode/cgx
78,Thrust,,23,6,2017-02-28T09:52:30Z,https://github.com/OrangeOwlSolutions/Thrust
79,Linear-Algebra,,20,17,2018-11-13T11:00:34Z,https://github.com/OrangeOwlSolutions/Linear-Algebra
80,cuda_inpainting,web service for image impainting,14,3,2015-07-22T23:48:29Z,https://github.com/fuweixiao/cuda_inpainting
81,inpainting-cuda,CUDA implementation of Image Completion Using Global Optimization(Nikos Komodakis and Georgios Tziritas),13,5,2020-03-19T08:36:55Z,https://github.com/geraint0923/inpainting-cuda
82,CUDA_by_practice,CUDA by practice,95,36,2020-01-07T03:56:35Z,https://github.com/eegkno/CUDA_by_practice
83,Medusa,Medusa: Building GPU-based Parallel Sparse Graph Applications with Sequential C/C++ Code,59,19,2020-10-17T22:53:12Z,https://github.com/Xtra-Computing/Medusa
